document,document_id,source,location,doc_relation,notes,url,content,admin_url
T-S 10G5.8 + T-S 20.100 (PGPID 1488),1488,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",pp. 69-72,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6319/change/
T-S 16.62 (PGPID 1743),1743,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",pp. 102-103,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3889/change/
T-S 20.49 (PGPID 1795),1795,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",pp. 126-130,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4068/change/
T-S 12.212 (PGPID 1627),1627,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",pp. 166-167,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2659/change/
T-S 18J4.5 (PGPID 1768),1768,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",pp. 176-179,Edition,Edited in comparison with manuscript,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3992/change/
T-S 12.198 (PGPID 1626),1626,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",pp.172-173,Edition,Edited here in comparison with manuscript,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2654/change/
T-S Misc. 35.90 + T-S Misc.35.104 + T-S Misc.35.105 + T-S NS 310.64 + T-S NS 329.445 + T-S Misc.35.103 (PGPID 23457),23457,"S. Abramson, Ba-merkazim uva-tefutsot bi-tekufat ha-Geʻonim‎ (in Hebrew) (1965).",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6735/change/
T-S Ar.30.32 (PGPID 8178),8178,"S. D. Goitein, ""Bankers Accounts from the Eleventh Century A.D.,"" Journal of the Economic and Social History of the Orient 9, no. 1 (1966).",35–38,Edition ; Translation ; Discussion,Fols. 1 and 2 only,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16191/change/
ENA 2808.31 (PGPID 12031),12031,"Elinoar Bareket, ""Begging for Help in Letters from the Geniza‎"" (in Hebrew), Te'uda‎ 16/17 (2001).",pp. 364-366,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1150/change/
T-S 12.349 (PGPID 19949),19949,"Elinoar Bareket, ""Begging for Help in Letters from the Geniza‎"" (in Hebrew), Te'uda‎ 16/17 (2001).",pp. 371-374,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2777/change/
T-S 12.258 (PGPID 3112),3112,"Elinoar Bareket, ""Begging for Help in Letters from the Geniza‎"" (in Hebrew), Te'uda‎ 16/17 (2001).",pp. 381-385,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2705/change/
ENA 2557.147 (PGPID 12319),12319,"Elinoar Bareket, ""Begging for Help in Letters from the Geniza‎"" (in Hebrew), Te'uda‎ 16/17 (2001).",pp. 385-389,Edition ; Translation,Transcription awaiting digitization on PGP,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6472/change/
T-S 8J31.3.2 (PGPID 3782),3782,"Marmorstein, ""Beiträge zur Geschichte und Literatur der gaonäischen Periode"" (in German), Monatsschrift Für Geschichte Und Wissenschaft Des Judentums (MGWJ) 50, no. 9 (1906).",p. 592,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4755/change/
"Moss. IV,9 + T-S NS 312.98 + T-S 8J31.4 + T-S 6J9.12 (PGPID 3783)",3783,"Marmorstein, ""Beiträge zur Geschichte und Literatur der gaonäischen Periode"" (in German), Monatsschrift Für Geschichte Und Wissenschaft Des Judentums (MGWJ) 50, no. 9 (1906).",pp. 596-600,Edition,no shelfmark given,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6473/change/
T-S 8J31.9 (PGPID 3784),3784,"Marmorstein, ""Beiträge zur Geschichte und Literatur der gaonäischen Periode"" (in German), Monatsschrift Für Geschichte Und Wissenschaft Des Judentums (MGWJ) 51, no. 11 (1907).",pp. 740-743,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4759/change/
AIU VII.D.58 (PGPID 30554),30554,"Avraham David, ""Berav Family in the Land of Israel and Egypt after the Spanish Expulsion‎"" (in Hebrew), Hispania Judaica Bulletin‎ 11 (2015).",,Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6783/change/
T-S NS J271 (PGPID 4300),4300,"S. D. Goitein, ""Books: Migrant and Stationary. A Geniza Study,"" in Occident and Orient: A Tribute to the Memory of Alexander Scheiber (1988).",pp. 182-84,Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6377/change/
T-S AS 152.17 (PGPID 22050),22050,"Outhwaite, ""Byzantium and Byzantines in the Cairo Genizah: New and Old Sources,"" in Jewish Reception of Greek Bible Versions (2009).",p. 191 note 31,Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16355/change/
T-S 12.179 (PGPID 1625),1625,"Outhwaite, ""Byzantium and Byzantines in the Cairo Genizah: New and Old Sources,"" in Jewish Reception of Greek Bible Versions (2009).",pp. 185-88,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2650/change/
T-S 8J16.29 (PGPID 1969),1969,"Outhwaite, ""Byzantium and Byzantines in the Cairo Genizah: New and Old Sources,"" in Jewish Reception of Greek Bible Versions (2009).",pp. 199-201,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4434/change/
T-S 13J20.3 (PGPID 1023),1023,"Outhwaite, ""Byzantium and Byzantines in the Cairo Genizah: New and Old Sources,"" in Jewish Reception of Greek Bible Versions (2009).",pp. 209-13,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6521/change/
T-S 13J37.1 (PGPID 8096),8096,"Dotan Arad, ""Cairo's Maghribians and Musta'ribs: From Close Cooperation to Conflict and Estrangement‎"" (in Hebrew), in Studies in Jewish History Presented to Joseph Hacker‎ (2014).",pp. 482-485,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6458/change/
T-S NS 321.93 (PGPID 1477),1477,"S. D. Goitein, ""Chief Judge R. Ḥanan'el b. Samuel, In-law of R. Moses Maimonides‎"" (in Hebrew), Tarbiz / תרביץ‎ 50, no. 10 (1980).",p. 375,Edition,lines 8–14 of recto,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5917/change/
T-S 16.292 (PGPID 1729),1729,"S. D. Goitein, ""Chief Judge R. Ḥanan'el b. Samuel, In-law of R. Moses Maimonides‎"" (in Hebrew), Tarbiz / תרביץ‎ 50, no. 10 (1980).",pp. 387-388,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3840/change/
T-S 16.293 (PGPID 1730),1730,"S. D. Goitein, ""Chief Judge R. Ḥanan'el b. Samuel, In-law of R. Moses Maimonides‎"" (in Hebrew), Tarbiz / תרביץ‎ 50, no. 10 (1980).",pp. 389–90,Edition,as corrected by Goitein in his offprint,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6520/change/
Bodl. MS heb. d 66/119 + T-S NS J404 (PGPID 565),565,"S. D. Goitein, ""Communal servants and physicians as booksellers‎"" (in Hebrew), Kiryat Sefer‎ 44 (1969).",p. 125,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/347/change/
ENA 4020.65 (PGPID 646),646,"S. D. Goitein, ""Congregation versus Community: An Unknown Chapter in the Communal History of Jewish Palestine,"" Jewish Quarterly Review 44, no. 4 (1954).",pp. 301-2,Edition,with corrections from his personal offprint,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6554/change/
T-S 12.203 (PGPID 19917),19917,"S. M. Stern, Corpus codicum hebraicorum Medii Aevi (in Latin) (1966).",document #7,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2656/change/
T-S Ar.30.286 (PGPID 20402),20402,"S. M. Stern, Corpus codicum hebraicorum Medii Aevi (in Latin) (1966).",pp. 27–28,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6621/change/
ENA 2559.11 (PGPID 4525),4525,"Mark Cohen, ""Correspondence and Social Control in the Jewish Communities of the Islamic World: A Letter of the Nagid Joshua Maimonides,"" Jewish History 1, no. 2 (1986).",pp. 41-42,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/962/change/
NLI 577.3/3 (PGPID 851),851,"S. D. Goitein, ""Court records from the Cairo Geniza‎"" (in Hebrew), Kiryat Sefer‎ 41 (1966).",pp. 264-265,Edition,with corrections from his personal offprint,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2028/change/
NLI 577.3/5 (PGPID 852),852,"S. D. Goitein, ""Court records from the Cairo Geniza‎"" (in Hebrew), Kiryat Sefer‎ 41 (1966).",pp. 269–71,Edition,with corrections from his personal offprint,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2029/change/
NLI 577.3/14 (PGPID 853),853,"S. D. Goitein, ""Court records from the Cairo Geniza‎"" (in Hebrew), Kiryat Sefer‎ 41 (1966).",pp. 272-276,Edition,with corrections from his personal offprint,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2025/change/
DK 327 (alt: 13) (PGPID 9560),9560,"S. D. Goitein, DK 13.",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/867/change/
"Moss. I,40 (PGPID 26639)",26639,"Israël Lévi, ""Document relatif à la «Communauté des fils de Sadoc»"" (in French), Revue des études juives 65, no. 129 (1913).",p. 25,Edition ; Translation,,https://www.persee.fr/doc/rjuiv_0484-8616_1913_num_65_129_5149,None,https://geniza.princeton.edu/admin/footnotes/footnote/6317/change/
T-S 12.570 (PGPID 7271),7271,"Ashtor, ""Documentos Españoles de la Genizah"" (in Spanish), Sefarad 24, no. 1 (1964).",pp. 76-78,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2904/change/
T-S 13J21.7 (PGPID 3345),3345,"Ashtor, ""Documentos Españoles de la Genizah"" (in Spanish), Sefarad 24, no. 1 (1964).",pp. 78-80,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6482/change/
Cod.Heid.Or.79 (PGPID 34017),34017,"Adalbert Merx, Documents de paléographie hébraïque et arabe (in French) (1894).",,Edition ; Translation,,https://archive.org/details/documentsdepalo00merxgoog,None,https://geniza.princeton.edu/admin/footnotes/footnote/6369/change/
Cod.Heid.Or.80 (PGPID 34018),34018,"Adalbert Merx, Documents de paléographie hébraïque et arabe (in French) (1894).",,Edition ; Translation,,https://archive.org/details/documentsdepalo00merxgoog.,None,https://geniza.princeton.edu/admin/footnotes/footnote/6370/change/
Cod.Heid.Or.78 (PGPID 34016),34016,"Adalbert Merx, Documents de paléographie hébraïque et arabe (in French) (1894).",,Edition ; Translation,,https://archive.org/details/documentsdepalo00merxgoog,None,https://geniza.princeton.edu/admin/footnotes/footnote/6368/change/
T-S 8J4.13 + T-S 20.92 (PGPID 2096),2096,"S. D. Goitein, ""Documents from Damascus and Tyre concerning buildings belonging to Jews‎"" (in Hebrew), Eretz Israel‎ 8 (1967).",pp. 288–93,Edition ; Translation ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4083/change/
T-S NS J382 + T-S 12.177 + T-S NS J338 (PGPID 1434),1434,"S. D. Goitein, ""Documents from Damascus and Tyre concerning buildings belonging to Jews‎"" (in Hebrew), Eretz Israel‎ 8 (1967).",pp.293–94,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6129/change/
ENA 1178.46 (PGPID 12029),12029,"Avraham David, ""Documents from the Geniza on the Castro Family in Egypt in the Sixteenth- and Seventeenth-Centuries‎"" (in Hebrew), Pe'amim‎ 54 (1993).",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/15652/change/
ENA 2808.2 + ENA NS 45.16 (PGPID 11176),11176,"Avraham David, ""Documents from the Geniza on the Castro Family in Egypt in the Sixteenth- and Seventeenth-Centuries‎"" (in Hebrew), Pe'amim‎ 54 (1993).",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/15651/change/
CUL Or.1080 J133 (PGPID 8900),8900,"Avraham David, ""Documents from the Geniza on the Castro Family in Egypt in the Sixteenth- and Seventeenth-Centuries‎"" (in Hebrew), Pe'amim‎ 54 (1993).",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/15653/change/
T-S 13J9.19 (PGPID 17054),17054,"Avraham David, ""Documents from the Geniza on the Castro Family in Egypt in the Sixteenth- and Seventeenth-Centuries‎"" (in Hebrew), Pe'amim‎ 54 (1993).",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/15654/change/
ENA NS 47.12 (PGPID 11402),11402,"Dotan Arad, ""Documents in Arabic and Judeo-Arabic Relative to the History of the Jewish Community in Jerusalem‎"" (in Hebrew), in The History of Jerusalem: The Mamluk Period (1260-1517)‎ (2013).",pp. 456-457,Edition ; Translation,Arad provides a partial transcription/translation up until line 10.,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6401/change/
T-S 13J22.26 (PGPID 1047),1047,"Dotan Arad, ""Documents in Arabic and Judeo-Arabic Relative to the History of the Jewish Community in Jerusalem‎"" (in Hebrew), in The History of Jerusalem: The Mamluk Period (1260-1517)‎ (2013).",pp. 464-465,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6457/change/
T-S 8J9.15 (PGPID 2224),2224,"Dotan Arad, ""Documents in Arabic and Judeo-Arabic Relative to the History of the Jewish Community in Jerusalem‎"" (in Hebrew), in The History of Jerusalem: The Mamluk Period (1260-1517)‎ (2013).",,Edition ; Translation,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6400/change/
T-S 6J1.1 (PGPID 1813),1813,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","#135, pp. 452",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4132/change/
ENA 2592.29 (PGPID 664),664,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","#138, pp. 460-465",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/984/change/
T-S NS 225.25j (PGPID 24143),24143,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).",224,Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/15965/change/
T-S NS 225.25f + T-S NS 224.51 + T-S NS J588 (PGPID 26539),26539,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","224, n. 5",Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/15964/change/
T-S Misc.28.52 (PGPID 1384),1384,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc #146, pp. 480-481",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5703/change/
T-S 16.115 (PGPID 1704),1704,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #1, pp. 119-127",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3702/change/
Bodl. MS heb. a 3/37 (PGPID 505),505,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #2, pp.127-137",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/175/change/
T-S Ar.18(1).35 + T-S 20.96 (PGPID 1251),1251,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #3, pp.136-144",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5055/change/
BL OR 5566B.29 (PGPID 4412),4412,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #4, pp. 144-147",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/120/change/
CUL Add.3358 (PGPID 2291),2291,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #5, pp. 147-149",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/601/change/
